Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
1069,24.68 km,Cloudy,Low,Afternoon,Bike,14.0,8.0,90.0
1070,19.42 km,Clear,Medium,Night,Scooter,24.0,7.0,91.0
1071,5.37 km,Rainy,Low,Morning,Scooter,32.0,1.0,79.0
1072,0.64 km,Clear,Medium,Evening,Bike,9.0,2.0,9.0
1073,20.48 km,Rainy,High,Afternoon,Bike,5.0,5.0,129.0
1074,17.82 km,Rainy,High,Morning,Scooter,34.0,4.0,211.0
1075,18.36KM,Clear,Medium,Afternoon,Bike,29.0,1.0,105.0
1076,19.4 km,Foggy,High,Afternoon,Bike,25.0,6.0,150.0
1077,2.31 km,Foggy,Medium,Afternoon,Bike,34.0,1.0,69.0
1078,9.28 km,Windy,Low,Evening,Scooter,30.0,3.0,91.0
1079,3.34km,Cloudy,High,Evening,Scooter,34.0,3.0,90.0
1080,21.65km,Clear,Low,Morning,Bike,22.0,1.0,97.0
1081,15.77km,Cloudy,Low,Morning,Bike,14.0,5.0,74.0
1082,8.61 km,Clear@,Medium,Afternoon,Scooter,11.0,8.0,50.0
1083,2.06 km,,Medium,Afternoon,Bike,14.0,8.0,23.0
1084,8.12 km,Clear,Low,Evening,Bike,10.0,1.0,49.0
1085,8.47 km,Cloudy,High,Night,Bike,8.0,4.0,39.0
1086,18.38 km,Clear,Medium,Morning,Car,12.0,2.0,128.0
1087,16.12 km,Clear,Medium,Evening,Bike,14.0,7.0,77.0
1088,22.24km,Clear,Medium,Evening,Scooter,30.0,6.0,146.0
1089,12.07 km,Rainy,Medium,Evening,Bike,13.0,1.0,88.0
1090,3.43 km,Cloudy,High,Morning,Scooter,31.0,2.0,80.0
1091,17.97km,Clear@,High,Morning,Bike,33.0,6.0,141.0
1092,19.14kilometer,Foggy#,High,Afternoon,Bike,27.0,8.0,143.0
1093,14.25 km,Clear,Medium,Evening,Scooter,10.0,5.0,85.0
1094,19.39 km,Cloudy#,High,Night,Scooter,33.0,1.0,149.0
1095,12.6 km,Rainy,Medium,Evening,Bike,11.0,4.0,96.0
1096,13.31 km,Rainy#,Low,Afternoon,Bike,25.0,6.0,87.0
1097,10.97 km,Clear,High,Night,Bike,23.0,4.0,69.0
1098,1.12 km,Windy#,Low,Afternoon,Bike,27.0,4.0,33.0
1099,3.14 km,Windy,Low,Morning,Bike,8.0,5.0,25.0
1100,1.27 km,Cloudy,High,Evening,Scooter,28.0,2.0,59.0
1101,999 km,Cloudy,High,Morning,Bike,33.0,8.0,136.0
1102,8.2 km,Clear#,Low,Night,Bike,9.0,2.0,29.0
1103,12.96 km,Cloudy@,High,Afternoon,Scooter,9.0,8.0,82.0
1104,22.74 km,Clear#,High,Morning,Car,9.0,9.0,155.0
1105,6.61KM,Rainy,High,Morning,Car,10.0,1.0,90.0
1106,10.55 km,Clear,Medium,Evening,Scooter,24.0,4.0,85.0
1107,19.01 km,Cloudy,High,Afternoon,Bike,22.0,5.0,125.0
1108,6.11 km,Clear,High,Afternoon,Bike,10.0,3.0,48.0
1109,2.39 km,Clear,High,Evening,Scooter,32.0,5.0,58.0
1110,7.6 km,Clear,High,Morning,Bike,16.0,4.0,67.0
1111,4.45 km,Clear@,Medium,Morning,Bike,5.0,3.0,17.0
1112,23.28 km,Cloudy@,Medium,Evening,Car,18.0,4.0,181.0
1113,999 km,Rainy,High,Morning,Bike,,5.0,147.0
1114,16.02 km,Cloudy,Medium,Night,Scooter,26.0,1.0,98.0
1115,21.85 km,Cloudy@,Low,Morning,Bike,34.0,9.0,117.0
1116,20.19 km,Cloudy,High,Afternoon,Bike,5.0,4.0,103.0
1117,5.07 km,Clear,Low,Morning,Bike,16.0,4.0,30.0
1118,22.37 km,Clear,Medium,Morning,Bike,26.0,4.0,121.0
1119,13.71 km,Clear#,Low,Evening,Car,10.0,2.0,89.0
1120,20.28 km,Rainy,High,Evening,Bike,18.0,2.0,188.0
1121,22.45KM,Clear,High,Afternoon,Scooter,23.0,1.0,162.0
1122,8.29kilometer,Clear,High,Morning,Scooter,21.0,9.0,68.0
1123,3.2 km,Cloudy@,Low,Morning,Scooter,7.0,3.0,16.0
1124,6.08 km,Windy,High,Evening,Scooter,32.0,8.0,90.0
1125,10.96 km,Cloudy@,Medium,Evening,Bike,31.0,3.0,97.0
1126,20.54km,Rainy,Medium,Morning,Scooter,32.0,4.0,187.0
1127,21.59 km,Cloudy#,Medium,Afternoon,Scooter,21.0,2.0,137.0
1128,0.67 km,Cloudy,High,Evening,Scooter,28.0,1.0,59.0
1129,13.01 km,Rainy#,Low,Evening,Bike,11.0,9.0,66.0
1130,10.73 km,Rainy,High,Morning,Bike,7.0,4.0,86.0
1131,5.94 km,Clear,Medium,Afternoon,Scooter,20.0,2.0,49.0
1132,3.44 km,Clear,Low,Night,Bike,28.0,9.0,28.0
1133,8.77KM,Clear@,High,Evening,Bike,20.0,5.0,81.0
1134,23.6 km,,Medium,Morning,Bike,24.0,2.0,
1135,999 km,Windy,High,Afternoon,Bike,,6.0,68.0
1136,13.21 km,Clear,Low,Night,Bike,22.0,9.0,52.0
1137,17.72 km,Clear,High,,Bike,16.0,9.0,84.0
1138,9.41 km,Windy,High,Evening,Bike,26.0,2.0,105.0
1139,24.31 km,Cloudy@,Medium,Morning,Bike,20.0,5.0,132.0
1140,24.08KM,Cloudy@,Medium,Evening,Bike,13.0,3.0,129.0
1141,6.67 km,Windy,High,Evening,Bike,11.0,5.0,60.0
1142,12.68 km,Cloudy#,High,Morning,Scooter,9.0,9.0,83.0
1143,7.87 km,,Medium,Afternoon,Bike,23.0,9.0,48.0
1144,7.48 km,Clear,High,Morning,Bike,25.0,1.0,80.0
1145,1.4 km,Clear,High,Evening,Bike,27.0,8.0,45.0
1146,15.43 km,Clear,Low,Evening,Scooter,23.0,3.0,91.0
1147,12.82 km,Cloudy,Medium,Afternoon,Bike,31.0,8.0,78.0
1148,1.76 km,Foggy,High,Afternoon,Bike,6.0,8.0,21.0
1149,7.33 km,Foggy,High,Afternoon,Bike,26.0,9.0,74.0
1150,22.75 km,Windy,High,Morning,Bike,31.0,2.0,191.0
1151,6.37km,Clear,Low,Afternoon,Car,12.0,3.0,44.0
1152,4.05 km,Foggy#,High,Morning,Scooter,19.0,2.0,67.0
1153,12.49 km,Cloudy,High,Morning,Scooter,27.0,7.0,124.0
1154,24.65 km,Clear,Low,Night,Bike,8.0,6.0,65.0
1155,6.43 km,Rainy,High,Morning,Bike,18.0,4.0,89.0
1156,16.97KM,Clear,High,Afternoon,Scooter,31.0,9.0,116.0
1157,19.16 km,Clear,Low,Night,Bike,24.0,1.0,73.0
1158,6.32 km,Rainy,High,Afternoon,Bike,8.0,1.0,59.0
1159,18.34 km,Cloudy,High,Afternoon,Bike,9.0,9.0,92.0
1160,9.51 km,Clear,Low,Morning,Bike,11.0,5.0,45.0
1161,15.99 km,Cloudy,High,Morning,Bike,34.0,5.0,139.0
1162,16.02 km,Windy,High,Afternoon,Scooter,30.0,1.0,157.0
1163,13.63 km,Cloudy,Low,Afternoon,Bike,29.0,2.0,80.0
1164,2.71 km,Clear,Medium,Morning,Car,12.0,3.0,35.0
1165,20.96 km,Clear,Medium,Afternoon,Bike,5.0,8.0,71.0
1166,8.36 km,Clear,Medium,Evening,Bike,12.0,4.0,50.0
1167,5.07 km,Foggy,High,Morning,Scooter,5.0,1.0,50.0
1168,1.5 km,Clear@,Medium,Morning,Bike,34.0,8.0,48.0
1169,14.98 km,Cloudy@,High,Morning,Bike,16.0,1.0,109.0
1170,17.1 km,Cloudy,High,Evening,Bike,15.0,2.0,132.0
1171,0.91 km,Windy,Medium,Evening,Bike,19.0,8.0,31.0
1172,13.05 km,Cloudy,Medium,Morning,Scooter,9.0,8.0,70.0
1173,6.05 km,Cloudy,Medium,Night,Bike,16.0,1.0,43.0
1174,16.31 km,Clear,Medium,Evening,Bike,32.0,2.0,114.0
1175,4.77 km,Clear,Medium,Afternoon,Bike,29.0,8.0,55.0
1176,17.43 km,Windy,Low,Morning,Bike,8.0,4.0,77.0
1177,9.98 km,Windy,Low,Afternoon,Scooter,10.0,9.0,53.0
1178,23.45 km,Windy,Low,Night,Car,21.0,3.0,129.0
1179,3.87 km,Windy,High,Night,Scooter,5.0,8.0,22.0
1180,8.86 km,Rainy,Medium,Evening,Bike,10.0,7.0,
1181,3.28 km,Cloudy,Low,Evening,Car,11.0,8.0,36.0
1182,23.15 km,Rainy#,High,Morning,Scooter,19.0,9.0,205.0
1183,21.99 km,Cloudy,Low,Night,Scooter,11.0,4.0,83.0
1184,6.82 km,Clear,Low,Evening,Scooter,12.0,5.0,46.0
1185,999 km,Clear,High,Afternoon,Scooter,21.0,7.0,111.0
1186,20.52 km,Foggy,Medium,Evening,Scooter,34.0,6.0,174.0
1187,14.1 km,Clear,Low,Morning,Bike,24.0,3.0,71.0
1188,13.48 km,Windy,Medium,Morning,Bike,33.0,8.0,106.0
1189,6.43kilometer,Clear,Medium,Evening,Scooter,6.0,2.0,48.0
1190,2.78 km,Clear,Medium,Evening,Bike,18.0,1.0,44.0
1191,22.48 km,Clear,High,Evening,Bike,23.0,6.0,146.0
1192,22.56 km,Clear,Medium,Evening,Bike,19.0,1.0,128.0
1193,16.01kilometer,Clear,Medium,Morning,Bike,34.0,1.0,117.0
1194,8.81 km,Clear,High,Afternoon,Bike,21.0,9.0,56.0
1195,9.06 km,Rainy,High,Evening,Scooter,32.0,1.0,153.0
1196,18.29 km,Clear,High,Morning,Scooter,14.0,9.0,121.0
1197,22.48 km,Clear,Medium,Afternoon,Bike,16.0,3.0,105.0
1198,22.23 km,Clear@,Medium,,Bike,10.0,2.0,116.0
1199,19.61 km,Cloudy@,Medium,Night,Bike,27.0,3.0,103.0
1200,16.23 km,Cloudy,High,Morning,Bike,24.0,2.0,128.0
1201,2.56kilometer,Cloudy,High,Afternoon,Scooter,31.0,2.0,68.0
1202,4.46 km,Clear,Medium,Night,Scooter,20.0,1.0,42.0
1203,22.51 km,Clear,Low,Morning,Bike,29.0,4.0,108.0
1204,15.36 km,Rainy#,Medium,Evening,Bike,8.0,5.0,101.0
1205,0.73kilometer,Rainy,Medium,Morning,Scooter,31.0,4.0,59.0
1206,2.99 km,Clear,High,Night,Bike,32.0,1.0,50.0
1207,16.76 km,Cloudy,Medium,Afternoon,Bike,14.0,2.0,87.0
1208,0.62 km,Clear,Low,Night,Scooter,17.0,3.0,12.0
1209,4.44 km,Clear,High,Morning,Car,9.0,1.0,45.0
1210,13.94 km,Rainy,Low,Evening,Bike,21.0,3.0,97.0
1211,17.45 km,Cloudy#,,Evening,Bike,25.0,6.0,110.0
1212,16.47 km,Clear,Medium,Evening,Bike,7.0,,71.0
1213,5.99 km,Clear,Medium,Morning,Scooter,7.0,2.0,36.0
1214,17.95 km,Foggy,Medium,Morning,Bike,33.0,7.0,142.0
1215,6.31 km,Rainy,Medium,Afternoon,Bike,27.0,6.0,66.0
1216,8.47 km,Windy,Low,Afternoon,Scooter,7.0,6.0,42.0
1217,18.79 km,Cloudy,Medium,Evening,Scooter,24.0,1.0,152.0
1218,16.42KM,Cloudy,Medium,Morning,Bike,24.0,2.0,113.0
1219,21.31 km,Clear@,High,Evening,Scooter,7.0,4.0,140.0
1220,16.61 km,Clear,Medium,Afternoon,Car,18.0,3.0,
1221,14.42 km,Clear@,Medium,Morning,Bike,12.0,3.0,80.0
1222,2.8 km,Cloudy,Medium,Morning,Scooter,30.0,4.0,57.0
1223,9.51 km,Clear,Low,Morning,Bike,5.0,6.0,36.0
1224,7.0KM,Rainy,Low,Afternoon,Bike,31.0,7.0,73.0
1225,6.48km,Clear@,High,Evening,Bike,29.0,3.0,91.0
1226,24.34 km,Clear,Medium,Evening,Scooter,9.0,9.0,120.0
1227,10.13 km,Clear,High,Night,Bike,30.0,1.0,83.0
1228,999 km,Clear#,Low,Morning,Bike,8.0,1.0,91.0
1229,15.96 km,Clear,High,Evening,Car,11.0,3.0,137.0
1230,19.97 km,Clear,High,Evening,Scooter,12.0,1.0,152.0
1231,12.81 km,Clear,Medium,Morning,Bike,31.0,5.0,92.0
1232,14.63 km,Cloudy,Medium,Night,Scooter,12.0,3.0,71.0
1233,12.57 km,Cloudy,Medium,Night,Bike,26.0,4.0,71.0
1234,5.28 km,Clear,High,Afternoon,Bike,12.0,5.0,37.0
1235,18.2 km,Cloudy,Low,Afternoon,Bike,30.0,3.0,95.0
1236,7.38 km,Cloudy#,High,Evening,Bike,5.0,7.0,49.0
1237,1.1 km,Clear,High,Afternoon,Car,15.0,3.0,31.0
1238,16.31 km,Rainy,Medium,Evening,Bike,24.0,9.0,119.0
1239,4.84 km,Cloudy,Low,Morning,Bike,16.0,3.0,35.0
1240,23.54 km,Clear,Low,Morning,Scooter,12.0,9.0,94.0
1241,,Windy,High,Morning,Scooter,27.0,5.0,197.0
1242,22.91 km,Rainy@,Low,Afternoon,Bike,23.0,4.0,122.0
1243,9.57 km,Foggy,Medium,Night,Scooter,23.0,7.0,69.0
1244,0.88 km,Cloudy,Medium,Evening,Bike,6.0,2.0,13.0
1245,23.24 km,Cler,Medium,Afternoon,Bike,16.0,5.0,100.0
1246,10.99 km,Clear,Medium,Afternoon,Bike,19.0,9.0,62.0
1247,24.18 km,Cloudy,High,Morning,Bike,29.0,3.0,188.0
1248,24.11 km,Foggy,High,Evening,Scooter,8.0,8.0,183.0
1249,21.4 km,Cloudy,High,Evening,Scooter,7.0,3.0,167.0
1250,7.71 km,Windy,High,Night,Scooter,27.0,,67.0
1251,9.93 km,Clear,High,Afternoon,Bike,13.0,3.0,59.0
1252,21.35 km,Clear,Medium,Afternoon,Bike,23.0,6.0,93.0
1253,8.26 km,Windy,High,Night,Scooter,24.0,7.0,74.0
1254,4.65km,Rainy,Medium,Morning,Bike,22.0,7.0,59.0
1255,14.14 km,Foggy,Medium,Morning,Bike,29.0,1.0,129.0
1256,23.44 km,Rainy,Medium,Afternoon,Bike,22.0,8.0,134.0
1257,17.55km,Clear#,Medium,Afternoon,Bike,12.0,6.0,78.0
1258,14.47 km,Cloudy,Low,Afternoon,Bike,11.0,7.0,58.0
1259,2.88 km,Windy,Low,Morning,Bike,18.0,5.0,32.0
1260,15.57 km,Cloudy,High,Night,Bike,11.0,7.0,74.0
1261,24.76KM,Clear,Medium,Evening,Bike,12.0,1.0,127.0
1262,3.93 km,Clear,Medium,Morning,Bike,9.0,1.0,21.0
1263,13.2 km,Cloudy,High,Morning,Bike,26.0,8.0,105.0
1264,22.0 km,Clear,Medium,Night,Bike,26.0,6.0,94.0
1265,18.65 km,Rainy,Low,Afternoon,Bike,12.0,,108.0
1266,17.58 km,Clear,High,,Scooter,13.0,6.0,128.0
1267,999 km,Clear,Medium,Morning,Bike,24.0,4.0,101.0
1268,9.31 km,Rainy,Medium,Morning,Scooter,18.0,3.0,97.0
1269,7.69KM,Cloudy,Medium,Afternoon,Scooter,30.0,9.0,73.0
1270,20.33 km,Rainy,Low,Evening,Scooter,10.0,4.0,136.0
1271,20.35 km,Clear,Low,Morning,Scooter,19.0,6.0,97.0
1272,21.74 km,Foggy,,Night,Scooter,19.0,3.0,106.0
1273,22.87 km,Clear,Low,Morning,Scooter,20.0,6.0,110.0
1274,13.03 km,Clear#,Medium,Evening,Scooter,14.0,8.0,74.0
1275,12.79 km,Windy@,High,Afternoon,Bike,16.0,2.0,95.0
1276,20.06 km,Rainy,Medium,Evening,Scooter,31.0,6.0,183.0
1277,16.42 km,Clear,High,Night,Scooter,17.0,6.0,89.0
1278,17.7 km,Foggy,Medium,Morning,Bike,32.0,5.0,142.0
1279,20.0 km,Cloudy,High,Afternoon,Scooter,14.0,9.0,121.0
1280,22.31kilometer,Foggy#,Low,Morning,Scooter,29.0,5.0,151.0
1281,8.78 km,Cloudy,Medium,Evening,Bike,18.0,8.0,58.0
1282,9.7km,Cloudy,Medium,Evening,Bike,17.0,3.0,74.0
1283,999 km,Clear,High,Afternoon,Bike,24.0,2.0,41.0
1284,14.67 km,Clear,Low,Afternoon,Scooter,28.0,9.0,71.0
1285,1.38 km,Cloudy,Medium,Morning,Bike,20.0,3.0,36.0
1286,11.91 km,Cloudy,Low,Afternoon,Scooter,30.0,8.0,78.0
1287,13.79 km,Clear,Medium,Afternoon,Bike,9.0,2.0,61.0
1288,7.52KM,Clear,High,Morning,Bike,31.0,6.0,80.0
1289,14.98 km,Clear,High,Afternoon,Scooter,,2.0,134.0
1290,999 km,Windy,Low,Night,Bike,18.0,4.0,25.0
1291,1.42 km,Cloudy@,,Afternoon,Scooter,26.0,4.0,34.0
1292,20.65 km,Rainy,Medium,Morning,Car,11.0,8.0,161.0
1293,9.32kilometer,Foggy,High,Afternoon,Bike,17.0,5.0,78.0
1294,3.61 km,Cloudy,Medium,Night,Car,34.0,9.0,44.0
1295,13.29kilometer,Foggy,Medium,Evening,Bike,32.0,3.0,122.0
1296,19.36 km,Clear,Medium,Morning,Bike,29.0,4.0,121.0
1297,5.79km,Clear,Low,Evening,Bike,22.0,1.0,44.0
1298,15.76 km,Clear,High,Evening,Scooter,8.0,9.0,99.0
1299,2.59 km,Cloudy,Medium,Night,Scooter,13.0,8.0,17.0
1300,1.77 km,Windy,High,Night,Bike,22.0,7.0,30.0
1301,13.52 km,Cloudy,Medium,Morning,Bike,27.0,5.0,98.0
1302,13.75 km,Clear,High,Afternoon,Scooter,16.0,8.0,87.0
1303,16.12 km,Rainy#,,Evening,Bike,15.0,2.0,103.0
1304,18.29 km,Cloudy,High,Night,Bike,5.0,3.0,81.0
1305,24.41 km,Clear,Low,Morning,Scooter,,5.0,104.0
1306,13.15 km,Cloudy,High,Afternoon,Bike,9.0,9.0,70.0
1307,8.41 km,Windy@,High,Afternoon,Bike,31.0,3.0,97.0
1308,19.98 km,Rainy@,Medium,Afternoon,Scooter,11.0,6.0,129.0
1309,7.14 km,Cloudy,Medium,Afternoon,Bike,28.0,1.0,72.0
1310,11.25 km,Clear#,High,Afternoon,Scooter,22.0,7.0,88.0
1311,2.42 km,Clear@,Medium,Night,Bike,19.0,5.0,31.0
1312,1.12 km,Cloudy@,,Evening,Bike,33.0,2.0,64.0
1313,24.08 km,Rainy#,Low,Evening,Scooter,23.0,3.0,174.0
1314,20.98 km,Clear,Medium,Afternoon,Bike,10.0,2.0,91.0
1315,17.55 km,Clear,Low,Night,Scooter,8.0,2.0,65.0
1316,10.52 km,Windy,Low,Morning,Scooter,34.0,8.0,82.0
1317,4.75kilometer,Rainy#,Medium,Morning,Scooter,13.0,4.0,55.0
1318,4.33 km,Cloudy,Low,Night,Scooter,9.0,1.0,21.0
1319,6.63 km,Clear,High,Evening,Car,11.0,6.0,60.0
1320,13.96 km,Clear,High,Morning,Bike,13.0,8.0,82.0
1321,18.01 km,Clear,,Night,Bike,23.0,5.0,64.0
1322,16.67 km,Cloudy,Low,Night,Scooter,21.0,2.0,80.0
1323,7.36 km,Clear,High,Night,Car,33.0,5.0,79.0
1324,23.89 km,Rainy,Medium,Morning,Bike,8.0,6.0,138.0
1325,18.58 km,Foggy,High,Morning,Bike,9.0,1.0,147.0
1326,14.08 km,Clear,Medium,Afternoon,Car,,3.0,94.0
1327,15.49 km,Cloudy,High,Evening,Scooter,13.0,2.0,127.0
1328,10.78kilometer,Rainy,Medium,Night,Bike,9.0,1.0,63.0
1329,6.57 km,Windy,High,Night,Bike,25.0,6.0,62.0
1330,9.22 km,Windy@,Low,Night,Bike,32.0,4.0,54.0
1331,19.07 km,Clear,Medium,Morning,Bike,21.0,6.0,97.0
1332,0.85kilometer,Clear,Low,Evening,Bike,20.0,4.0,26.0
1333,3.34 km,Rainy,Medium,Night,Bike,21.0,4.0,46.0
1334,1.63 km,Cloudy,Medium,Afternoon,Bike,19.0,4.0,32.0
1335,1.5 km,Clear,High,Morning,Bike,30.0,7.0,49.0
1336,999 km,Cloudy#,Low,Evening,Scooter,31.0,8.0,121.0
1337,17.74 km,Rainy,Medium,Morning,Scooter,31.0,5.0,158.0
1338,12.12 km,Clear,Low,Night,Bike,5.0,1.0,29.0
1339,2.9 km,Windy,High,Morning,Bike,17.0,6.0,41.0
1340,12.54 km,,High,Afternoon,Car,27.0,1.0,113.0
1341,12.1 km,Rainy,High,Night,Bike,31.0,3.0,115.0
1342,4.74KM,Cloudy,High,Night,Bike,7.0,6.0,32.0
1343,11.13 km,Clear,High,Evening,Bike,9.0,4.0,75.0
1344,10.26 km,Rainy,High,Evening,Bike,20.0,2.0,116.0
1345,15.59 km,Rainy,Medium,Night,Scooter,22.0,8.0,95.0
1346,,Windy#,Low,Night,Bike,34.0,6.0,83.0
1347,1.61 km,Clear#,Medium,Evening,Car,,3.0,17.0
1348,9.68KM,Cloudy#,High,Evening,Car,34.0,8.0,124.0
1349,15.83KM,Cloudy,Medium,Evening,Bike,5.0,2.0,83.0
1350,12.83KM,Cloudy,Low,Afternoon,Car,31.0,8.0,86.0
1351,21.48 km,Windy#,High,Night,Car,28.0,9.0,150.0
1352,16.64 km,Clear,Medium,Evening,Scooter,28.0,6.0,115.0
1353,4.49kilometer,Clear,High,Night,Bike,25.0,8.0,41.0
1354,2.23 km,Cloudy,High,Morning,Bike,12.0,8.0,26.0
1355,16.24 km,Clear,High,Evening,Bike,22.0,8.0,107.0
1356,1.15 km,Windy,High,,Bike,9.0,1.0,28.0
1357,14.85 km,Cloudy,High,Afternoon,Scooter,29.0,2.0,
1358,23.54 km,Cloudy@,High,Evening,Car,13.0,2.0,214.0
1359,14.6 km,Rainy,Medium,Evening,Scooter,22.0,8.0,121.0
1360,,Cloudy,High,Morning,Scooter,15.0,4.0,88.0
1361,16.26 km,Cloudy,High,Morning,Bike,19.0,3.0,127.0
1362,11.73 km,Clear,Medium,Night,Scooter,17.0,9.0,53.0
1363,13.87 km,Clear@,Medium,Night,Scooter,15.0,5.0,77.0
1364,23.57KM,Clear,Medium,Morning,Bike,11.0,2.0,
1365,9.96KM,Cloudy,Medium,Afternoon,Scooter,22.0,2.0,77.0
1366,24.05 km,Cloudy,Low,Morning,Bike,29.0,5.0,
1367,22.68 km,Clear#,High,Evening,Bike,5.0,1.0,132.0
1368,5.3 km,Cloudy,Low,Evening,Bike,18.0,8.0,43.0
1369,2.2 km,Clear#,Low,Evening,Bike,14.0,5.0,21.0
1370,2.97km,Windy,Low,Evening,Scooter,34.0,6.0,56.0
1371,0.95 km,Clear,Medium,Afternoon,Bike,13.0,7.0,18.0
1372,2.81km,Windy,Medium,Morning,Bike,24.0,7.0,40.0
